id,name,pos,team_name,price,selected_by,status,pen1,prior,benched,minutes_season,xp_h,xp_next,p_start,games,starts_actual,value
72,Gannon-Doak,MID,BOU,4.9,0.1,a,False,True,False,2,1.9445567940670667,0.32983001652266186,0.10000000000000002,6,0.0,0.3968483253198095
73,Adams,MID,BOU,5.0,0.3,a,False,False,False,111,7.459310946756276,1.253748146461883,0.39200000000000007,6,0.3333333333333333,1.4918621893512554
74,Brooks,MID,BOU,5.0,0.1,a,False,False,False,23,4.705458660765613,0.8230549665592641,0.154,6,0.0,0.9410917321531226
75,Christie,MID,BOU,5.0,0.0,a,False,False,False,4,2.8689426899460306,0.4891111783713875,0.118,6,0.0,0.5737885379892061
76,Tóth.A,MID,BOU,5.0,0.0,a,False,True,False,15,3.333565843327822,0.5660299510448636,0.17899999999999996,6,0.0,0.6667131686655644
77,Adli,MID,BOU,4.9,0.0,i,False,False,False,0,1.1697260949082757,0.0,0.043333333333333335,6,0.0,0.23871961120577054
78,Kroupi.Jr,MID,BOU,7.4,0.2,i,True,False,False,0,4.589404948226019,0.0,0.14266666666666666,6,0.0,0.6201898578683809
79,Evanilson,FWD,BOU,6.0,3.3,a,False,False,False,244,18.806620219333272,3.2465317692944753,0.9129999999999999,6,1.0,3.134436703222212
80,Enes Ünal,FWD,BOU,5.5,0.0,u,False,True,False,0,3.254454107066378,0.0,0.13933333333333334,6,0.0,0.5917189285575233
81,Rodríguez,FWD,BOU,6.0,0.1,a,False,True,True,9,13.357718112281038,2.3098470251739474,0.544,6,0.0,2.2262863520468397
82,Kelleher,GK,BRE,5.0,6.9,a,False,False,False,270,20.18043033274351,3.03538475271264,0.949,6,1.0,4.036086066548702
83,Valdimarsson,GK,BRE,4.5,0.1,a,False,True,False,0,7.857523402026631,1.1811180322377504,0.381,6,0.0,1.7461163115614735
84,Collins,DEF,BRE,5.5,1.9,d,False,False,False,196,12.656467848586942,0.810110383402608,0.5176666666666666,6,1.0,2.3011759724703533
85,Van den Berg,DEF,BRE,4.9,0.1,i,False,False,False,0,4.150366603472626,0.0,0.164,6,0.0,0.8470135925454337
86,Lewis-Potter,MID,BRE,5.5,2.2,a,False,False,False,267,19.30715126119239,3.041247705376084,0.785,6,1.0,3.510391138398617
87,Ajer,DEF,BRE,4.5,5.0,a,False,False,False,270,16.573483602087506,2.375684276315308,0.775,6,1.0,3.682996356019446
88,Kayode,DEF,BRE,4.6,9.3,a,False,False,False,207,19.759430310602266,2.7746478021914465,0.952,6,1.0,4.295528328391797
89,Henry,DEF,BRE,4.5,0.2,a,False,False,False,2,3.1041046971212407,0.41636451679133984,0.207,6,0.0,0.6898010438047202
90,Hickey,DEF,BRE,4.5,0.1,a,False,False,False,61,2.430152474547927,0.3359047614192219,0.135,6,0.0,0.5400338832328726
91,Pinnock,DEF,COV,4.5,0.1,a,False,True,True,102,10.211173400501984,1.6120650446724214,0.611,6,0.3333333333333333,2.2691496445559967
92,Ji-soo,DEF,BRE,4.5,0.0,a,False,True,False,0,4.398467489948265,0.6105524767307704,0.246,6,0.0,0.9774372199885034
93,Schuster,DEF,BRE,4.5,0.1,a,False,True,False,73,4.0985423770038105,0.5693361412541219,0.228,6,0.0,0.9107871948897357
94,Schade,MID,BRE,6.0,4.1,a,False,False,False,267,25.64231579760893,4.011586529988408,0.932,6,1.0,4.273719299601488
95,O.Dango,MID,BRE,6.4,0.8,a,False,False,False,140,20.961071966328,3.2864492623887305,0.714,6,0.6666666666666666,3.2751674947387497
96,Damsgaard,MID,BRE,5.5,0.5,a,False,False,False,167,17.211508121190633,2.7391298557081862,0.618,6,0.6666666666666666,3.1293651129437516
97,Jensen,MID,BRE,5.5,0.1,i,False,False,False,66,4.091895867413971,0.0,0.18400000000000002,6,0.3333333333333333,0.7439810668025402
98,Janelt,MID,BRE,5.0,1.2,a,False,False,False,270,15.510149676802476,2.4779920317856625,0.664,6,1.0,3.102029935360495
99,Milambo,MID,BRE,5.0,0.0,i,False,True,False,0,1.3762909367045135,0.0,0.07266666666666667,6,0.0,0.2752581873409027
100,Carvalho,MID,BRE,5.0,0.0,a,False,True,False,0,3.3627353799220336,0.5351136773053382,0.17899999999999996,6,0.0,0.6725470759844068
101,Henderson,MID,CHE,5.0,0.0,d,False,False,False,0,3.436121365648596,0.547836067151356,0.19633333333333333,6,0.0,0.6872242731297191
102,Yarmoliuk,MID,BRE,4.9,0.9,a,False,False,False,89,5.507717485250907,0.8865050758826779,0.281,6,0.0,1.1240239765818179
103,Dasilva,MID,BRE,5.0,0.0,i,False,True,False,0,1.3536795913457613,0.0,0.07133333333333333,6,0.0,0.2707359182691523
104,Onyeka,MID,COV,4.9,0.1,a,False,True,False,152,2.3384630344101187,0.385856180951179,0.129,6,0.6666666666666666,0.47723735396124867
105,Anthony,MID,BRE,6.0,0.1,a,False,False,True,128,13.194248784094315,2.077708625766828,0.596,6,0.3333333333333333,2.199041464015719
106,Thiago,FWD,BRE,7.9,12.5,a,True,False,False,262,30.393718925567075,4.777724717591248,0.969,6,1.0,3.8473061931097563
107,Furo,FWD,BRE,4.5,1.1,a,False,True,False,0,4.435381652809508,0.7039572103527578,0.166,6,0.0,0.9856403672910018
