id,name,pos,team,team_name,price,gw,opp,home,p_start,xp,pts_goal,pts_ast,pts_cs,pts_dc,pts_bonus,pts_sv,pts_app,p_cs,per_match,p_start_base,xg,xa,bonus90,selected_by,status,news,pen1,prior,benched,starts_actual,minutes_season
518,P.M.Sarr,MID,19,TOT,4.9,9,CRY,True,0.082,0.32533310765969203,0.047434146988251824,0.019381068646733567,0.022729205773446646,0.0856021192724514,0.010613058282108024,0.0,0.15549309611986267,0.27773252991411823,3.9753077144783577,0.13639745273672166,0.11592139011523087,0.07894033314595476,0.12968299711815562,0.1,u,Has joined Juventus on loan for the rest of the season,False,False,False,0.0,0
519,Gallagher,MID,19,TOT,5.4,4,EVE,True,0.505,1.7605980971734632,0.2674354571404946,0.09131942438943717,0.16029872664006523,0.24342806830850575,0.11528058929188491,0.0,0.9596895575976654,0.3173605237286629,3.4856442462531985,0.505099767156666,0.10589411222497933,0.0602649419166549,0.2282333051563821,0.2,a,,False,False,False,0.6666666666666666,128
519,Gallagher,MID,19,TOT,5.4,5,AVL,True,0.505,1.735174118658377,0.2595851473987012,0.08863883081906872,0.1454056514371409,0.24342806830850575,0.11528058929188491,0.0,0.9596895575976654,0.28787511080368533,3.4353096783752437,0.505099767156666,0.10278569275926278,0.05849592270852354,0.2282333051563821,0.2,a,,False,False,False,0.6666666666666666,128
519,Gallagher,MID,19,TOT,5.4,6,MUN,False,0.505,1.5907852989434932,0.2015744450117164,0.06883029829668366,0.07883606663162696,0.24342806830850575,0.11528058929188491,0.0,0.9596895575976654,0.15608018802981252,3.1494476980229567,0.505099767156666,0.07981569508393552,0.045423566307930784,0.2282333051563821,0.2,a,,False,False,False,0.6666666666666666,128
519,Gallagher,MID,19,TOT,5.4,7,COV,True,0.505,1.876333548470141,0.33794504750916066,0.1153958698811768,0.1814481420763376,0.24342806830850575,0.11528058929188491,0.0,0.9596895575976654,0.359232282164284,3.7147780903414307,0.505099767156666,0.13381318681318682,0.07615384615384617,0.2282333051563821,0.2,a,,False,False,False,0.6666666666666666,128
519,Gallagher,MID,19,TOT,5.4,8,CHE,False,0.505,1.6108731611367477,0.21478454175605216,0.07334106303865195,0.08120306733857753,0.24342806830850575,0.11528058929188491,0.0,0.9596895575976654,0.1607663923420319,3.1892177860321715,0.505099767156666,0.08504638319876032,0.048400380682221314,0.2282333051563821,0.2,a,,False,False,False,0.6666666666666666,128
519,Gallagher,MID,19,TOT,5.4,9,CRY,True,0.505,1.7295328285899962,0.2591987970763303,0.08850690631874694,0.1402826361914529,0.24342806830850575,0.11528058929188491,0.0,0.9596895575976654,0.27773252991411823,3.4241410134199284,0.505099767156666,0.10263271295309666,0.05840886103021761,0.2282333051563821,0.2,a,,False,False,False,0.6666666666666666,128
520,Bergvall,MID,19,TOT,5.4,4,EVE,True,0.315,0.9374019418191448,0.20670004138861045,0.04335659404736707,0.10001618310038098,0.04794404752604489,0.0,0.0,0.5987850840994844,0.3173605237286629,2.974462351771712,0.31515004426288656,0.13117563849439848,0.04585815004275719,0.0,0.2,a,,False,False,False,0.3333333333333333,45
520,Bergvall,MID,19,TOT,5.4,5,AVL,True,0.315,0.9207694414277311,0.2006325611603262,0.042083903072653785,0.0907238539119648,0.04794404752604489,0.0,0.0,0.5987850840994844,0.28787511080368533,2.921685902286148,0.31515004426288656,0.12732510422430143,0.0445120283060566,0.0,0.2,a,,False,False,False,0.3333333333333333,45
520,Bergvall,MID,19,TOT,5.4,6,MUN,False,0.315,0.8249932865190623,0.15579626790070483,0.03267921716941614,0.049188678166155075,0.04794404752604489,0.0,0.0,0.5987850840994844,0.15608018802981252,2.617779376958879,0.31515004426288656,0.09887116993119971,0.03456471794342754,0.0,0.2,a,,False,False,False,0.3333333333333333,45
520,Bergvall,MID,19,TOT,5.4,7,COV,True,0.315,1.016525477287574,0.26119668668512674,0.054787597694929024,0.11321206962473185,0.04794404752604489,0.0,0.0,0.5987850840994844,0.359232282164284,3.2255285880259175,0.31515004426288656,0.1657602094240838,0.057948691099476445,0.0,0.2,a,,False,False,False,0.3333333333333333,45
520,Bergvall,MID,19,TOT,5.4,8,CHE,False,0.315,0.8388218059117478,0.16600631100043967,0.03482083596594588,0.05066553566257594,0.04794404752604489,0.0,0.0,0.5987850840994844,0.1607663923420319,2.6616585375188255,0.31515004426288656,0.10535065060118685,0.03682990224269134,0.0,0.2,a,,False,False,False,0.3333333333333333,45
520,Bergvall,MID,19,TOT,5.4,9,CRY,True,0.315,0.9172117625836527,0.20033395218574054,0.04202126801944802,0.08752741909567782,0.04794404752604489,0.0,0.0,0.5987850840994844,0.27773252991411823,2.9103970609585206,0.31515004426288656,0.1271356014905899,0.04444577938288915,0.0,0.2,a,,False,False,False,0.3333333333333333,45
521,Kulusevski,MID,19,TOT,6.5,4,EVE,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3173605237286629,4.27849721460777,0.720368994859361,0.23764475429134246,0.16974625306524463,0.4332621951219512,0.0,i,Knee injury - Unknown return date,False,True,False,0.0,0
521,Kulusevski,MID,19,TOT,6.5,5,AVL,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28787511080368533,4.199184427320426,0.720368994859361,0.2306689218806111,0.16476351562900796,0.4332621951219512,0.0,i,Knee injury - Unknown return date,False,True,False,0.0,0
