id,web_name,now_cost,selected_by_percent,transfers_in_event,transfers_out_event,status,chance_of_playing_next_round
473,Aina,45,2.6,1960,2870,a,
474,Jair Cunha,45,0.2,59,594,d,75.0
475,Savona,45,0.0,2,2,i,0.0
476,O.Richards,40,0.2,116,191,a,
477,Abbott,40,0.2,0,317,u,0.0
478,Netz,45,0.0,19,40,a,
479,Bindon,40,0.1,0,182,u,0.0
480,Gibbs-White,79,9.7,26513,4982,a,100.0
482,Hudson-Odoi,58,0.2,112,400,a,100.0
483,Ndoye,55,0.6,1151,1646,a,
484,Hutchinson,54,0.1,0,177,u,0.0
485,Bakwa,55,0.0,0,12,u,0.0
486,McAtee,55,0.1,229,175,a,
487,Dominguez,49,0.1,32,99,a,
488,I.Sangaré,49,0.5,169,638,a,100.0
489,Yates,45,1.3,510,2030,a,100.0
490,Wood,58,1.0,390,2459,a,
491,Igor Jesus,58,2.4,4244,4353,a,
493,Kalimuendo,54,0.1,76,96,a,
558,Schlager,50,0.1,188,108,a,
581,Diomande,54,0.5,406,384,a,
590,Benda,45,0.1,53,63,a,
112,Van Hecke,49,6.8,4502,4159,a,
147,Tosin,44,0.2,66,122,a,
401,Marmoush,70,2.2,2608,7241,a,
403,Sávio,65,0.7,1089,1840,a,100.0
455,Tonali,54,2.5,937,4980,a,
494,Vicario,45,0.1,0,308,u,0.0
495,Austin,40,1.0,700,508,a,
496,Kinsky,45,18.5,9604,8223,a,
497,Dubravka,40,17.8,5766,8677,a,
498,Senesi,58,4.3,362,11927,a,
499,Pedro Porro,55,10.3,402,33370,d,75.0
500,Romero,50,0.1,0,114,u,0.0
502,Robertson,44,2.7,2274,2434,a,
503,Van de Ven,50,3.9,4057,1837,a,100.0
505,Spence,45,0.3,0,460,u,0.0
506,Udogie,45,0.4,14,1070,d,75.0
507,Phillips,45,0.0,0,11,u,0.0
508,Davies,40,0.9,254,854,a,
509,Byfield,40,0.1,75,63,a,
510,Rowswell,40,0.1,91,71,a,
511,Souza,40,0.2,0,310,u,0.0
512,Kudus,65,0.1,201,358,a,100.0
513,Xavi,59,0.0,13,23,i,0.0
514,Tel,58,0.2,87,863,a,
515,Maddison,63,0.4,146,603,a,100.0
516,Bentancur,55,0.2,147,164,a,
517,Odobert,55,0.0,3,3,i,0.0
518,P.M.Sarr,49,0.1,0,375,u,0.0
519,Gallagher,54,0.2,53,340,a,
520,Bergvall,54,0.2,31,153,a,
521,Kulusevski,65,0.0,10,14,i,0.0
522,Gray,49,0.2,135,272,a,
523,Moore,50,0.1,0,337,u,0.0
524,Olusesi,44,0.8,6814,1436,a,
525,Fernandes,58,0.9,211,2016,a,
526,Solanke,59,0.9,600,1531,a,
527,Richarlison,59,0.9,0,3434,u,0.0
528,Scarlett,45,1.3,0,2457,u,0.0
578,Mudryk,54,0.1,7,531,i,0.0
601,Williams-Barnett,45,0.1,105,220,a,
501,Danso,50,0.2,233,166,a,
529,Roefs,50,2.9,327,4835,a,
530,Patterson,40,0.1,0,102,u,0.0
531,Ellborg,45,0.1,11,55,a,
532,Ballard,49,3.1,1251,4690,a,
533,Mukiele,55,2.2,1016,2712,a,100.0
534,Hume,44,3.8,296,11315,a,
535,Alderete,49,0.3,41,540,a,100.0
536,Reinildo,45,0.4,99,978,s,0.0
537,Seelt,45,0.0,0,7,u,0.0
538,Hjelde,40,0.0,0,46,u,0.0
539,O'Nien,40,2.6,316,2509,a,
540,Masuaku,40,0.1,0,174,u,0.0
541,Meunier,45,0.3,162,203,a,100.0
542,E.Le Fée,58,4.3,673,11444,a,
543,Diarra,54,0.0,1,106,i,0.0
544,Xhaka,55,4.2,2217,6275,a,
545,Sadiki,49,0.2,180,460,a,
546,Adingra,49,0.0,0,97,u,0.0
547,Mundle,49,0.0,3,22,i,0.0
548,Rigg,49,0.1,9,48,a,
549,Talbi,54,0.1,30,222,a,
550,Jocelin.T,50,0.0,8,15,a,
551,N.Angulo,50,0.1,111,290,a,
552,Brobbey,58,6.7,1722,17985,a,
553,Isidor,55,1.5,1610,2864,a,
612,Methalie,45,0.0,13,7,a,100.0
613,Ahoka,45,0.3,404,439,a,
646,Fofana,55,0.0,90,67,a,
651,J.Angulo,45,0.5,3544,857,a,
